race,age_group,state,population
Non-Hispanic Black,75-84 years,North Dakota,73
Non-Hispanic Black,75-84 years,Ohio,50432
Non-Hispanic Black,75-84 years,Oklahoma,8340
Non-Hispanic Black,75-84 years,Oregon,1990
Non-Hispanic Black,75-84 years,Pennsylvania,46868
Non-Hispanic Black,75-84 years,Rhode Island,1642
Non-Hispanic Black,75-84 years,South Carolina,48041
Non-Hispanic Black,75-84 years,South Dakota,84
Non-Hispanic Black,75-84 years,Tennessee,31275
Non-Hispanic Black,75-84 years,Texas,85439
Non-Hispanic Black,75-84 years,United States,1310495
Non-Hispanic Black,75-84 years,Utah,419
Non-Hispanic Black,75-84 years,Vermont,82
Non-Hispanic Black,75-84 years,Virginia,56513
Non-Hispanic Black,75-84 years,Washington,6045
Non-Hispanic Black,75-84 years,West Virginia,2193
Non-Hispanic Black,75-84 years,Wisconsin,8070
Non-Hispanic Black,75-84 years,Wyoming,105
Non-Hispanic Black,All Ages,Alabama,1295175
Non-Hispanic Black,All Ages,Alaska,24861
Non-Hispanic Black,All Ages,Arizona,313875
Non-Hispanic Black,All Ages,Arkansas,464640
Non-Hispanic Black,All Ages,California,2223274
Non-Hispanic Black,All Ages,Colorado,229085
Non-Hispanic Black,All Ages,Connecticut,364858
Non-Hispanic Black,All Ages,Delaware,211504
Non-Hispanic Black,All Ages,District of Columbia,315337
Non-Hispanic Black,All Ages,Florida,3309386
Non-Hispanic Black,All Ages,Georgia,3313815
Non-Hispanic Black,All Ages,Hawaii,27934
Non-Hispanic Black,All Ages,Idaho,13050
Non-Hispanic Black,All Ages,Illinois,1791197
Non-Hispanic Black,All Ages,Indiana,635087
Non-Hispanic Black,All Ages,Iowa,119189
Non-Hispanic Black,All Ages,Kansas,167341
Non-Hispanic Black,All Ages,Kentucky,365332
Non-Hispanic Black,All Ages,Louisiana,1503104
Non-Hispanic Black,All Ages,Maine,20708
Non-Hispanic Black,All Ages,Maryland,1801327
Non-Hispanic Black,All Ages,Massachusetts,500276
Non-Hispanic Black,All Ages,Michigan,1375622
Non-Hispanic Black,All Ages,Minnesota,367582
Non-Hispanic Black,All Ages,Mississippi,1118103
Non-Hispanic Black,All Ages,Missouri,710969
Non-Hispanic Black,All Ages,Montana,5612
Non-Hispanic Black,All Ages,Nebraska,92902
Non-Hispanic Black,All Ages,Nevada,276929
Non-Hispanic Black,All Ages,New Hampshire,19146
Non-Hispanic Black,All Ages,New Jersey,1150141
Non-Hispanic Black,All Ages,New Mexico,38590
Non-Hispanic Black,All Ages,New York,2833908
Non-Hispanic Black,All Ages,North Carolina,2219512
Non-Hispanic Black,All Ages,North Dakota,24620
Non-Hispanic Black,All Ages,Ohio,1474401
Non-Hispanic Black,All Ages,Oklahoma,292842
Non-Hispanic Black,All Ages,Oregon,82107
Non-Hispanic Black,All Ages,Pennsylvania,1388544
Non-Hispanic Black,All Ages,Rhode Island,63323
Non-Hispanic Black,All Ages,South Carolina,1353188
Non-Hispanic Black,All Ages,South Dakota,20162
Non-Hispanic Black,All Ages,Tennessee,1133558
Non-Hispanic Black,All Ages,Texas,3441644
Non-Hispanic Black,All Ages,United States,40902223
Non-Hispanic Black,All Ages,Utah,36307
Non-Hispanic Black,All Ages,Vermont,8155
Non-Hispanic Black,All Ages,Virginia,1627434
Non-Hispanic Black,All Ages,Washington,295631
Non-Hispanic Black,All Ages,West Virginia,63429
Non-Hispanic Black,All Ages,Wisconsin,370909
Non-Hispanic Black,All Ages,Wyoming,6598
Non-Hispanic Black,Under 25 years,Alabama,458342
Non-Hispanic Black,Under 25 years,Alaska,9338
Non-Hispanic Black,Under 25 years,Arizona,114895
Non-Hispanic Black,Under 25 years,Arkansas,177622
Non-Hispanic Black,Under 25 years,California,677365
Non-Hispanic Black,Under 25 years,Colorado,78584
Non-Hispanic Black,Under 25 years,Connecticut,124461
Non-Hispanic Black,Under 25 years,Delaware,74325
Non-Hispanic Black,Under 25 years,District of Columbia,98908
Non-Hispanic Black,Under 25 years,Florida,1199470
Non-Hispanic Black,Under 25 years,Georgia,1198223
Non-Hispanic Black,Under 25 years,Hawaii,9701
Non-Hispanic Black,Under 25 years,Idaho,5987
Non-Hispanic Black,Under 25 years,Illinois,623669
Non-Hispanic Black,Under 25 years,Indiana,245500
Non-Hispanic Black,Under 25 years,Iowa,54996
Non-Hispanic Black,Under 25 years,Kansas,63980
Non-Hispanic Black,Under 25 years,Kentucky,138003
Non-Hispanic Black,Under 25 years,Louisiana,562806
Non-Hispanic Black,Under 25 years,Maine,10333
Non-Hispanic Black,Under 25 years,Maryland,582404
Non-Hispanic Black,Under 25 years,Massachusetts,177201
Non-Hispanic Black,Under 25 years,Michigan,492002
Non-Hispanic Black,Under 25 years,Minnesota,166288
Non-Hispanic Black,Under 25 years,Mississippi,420726
Non-Hispanic Black,Under 25 years,Missouri,262725
Non-Hispanic Black,Under 25 years,Montana,2470
Non-Hispanic Black,Under 25 years,Nebraska,38875
Non-Hispanic Black,Under 25 years,Nevada,96688
Non-Hispanic Black,Under 25 years,New Hampshire,7561
Non-Hispanic Black,Under 25 years,New Jersey,377117
Non-Hispanic Black,Under 25 years,New Mexico,12363
Non-Hispanic Black,Under 25 years,New York,896004
Non-Hispanic Black,Under 25 years,North Carolina,759479
Non-Hispanic Black,Under 25 years,North Dakota,10752
Non-Hispanic Black,Under 25 years,Ohio,545509
Non-Hispanic Black,Under 25 years,Oklahoma,110900
Non-Hispanic Black,Under 25 years,Oregon,29962
Non-Hispanic Black,Under 25 years,Pennsylvania,497963
Non-Hispanic Black,Under 25 years,Rhode Island,23071
Non-Hispanic Black,Under 25 years,South Carolina,470770
Non-Hispanic Black,Under 25 years,South Dakota,9175
Non-Hispanic Black,Under 25 years,Tennessee,412007
Non-Hispanic Black,Under 25 years,Texas,1232640
Non-Hispanic Black,Under 25 years,United States,14406377
Non-Hispanic Black,Under 25 years,Utah,16438
Non-Hispanic Black,Under 25 years,Vermont,3864
Non-Hispanic Black,Under 25 years,Virginia,541893
Non-Hispanic Black,Under 25 years,Washington,103592
Non-Hispanic Black,Under 25 years,West Virginia,21271
Non-Hispanic Black,Under 25 years,Wisconsin,155675
Non-Hispanic Black,Under 25 years,Wyoming,2484
Non-Hispanic More than one race, 85 years and over,Alabama,592
Non-Hispanic More than one race, 85 years and over,Alaska,158
Non-Hispanic More than one race, 85 years and over,Arizona,662
Non-Hispanic More than one race, 85 years and over,Arkansas,480
Non-Hispanic More than one race, 85 years and over,California,8039
Non-Hispanic More than one race, 85 years and over,Colorado,451
Non-Hispanic More than one race, 85 years and over,Connecticut,307
Non-Hispanic More than one race, 85 years and over,Delaware,91
Non-Hispanic More than one race, 85 years and over,District of Columbia,90
Non-Hispanic More than one race, 85 years and over,Florida,2195
Non-Hispanic More than one race, 85 years and over,Georgia,895
Non-Hispanic More than one race, 85 years and over,Hawaii,2728
Non-Hispanic More than one race, 85 years and over,Idaho,231
Non-Hispanic More than one race, 85 years and over,Illinois,1223
Non-Hispanic More than one race, 85 years and over,Indiana,672
Non-Hispanic More than one race, 85 years and over,Iowa,215
Non-Hispanic More than one race, 85 years and over,Kansas,366
Non-Hispanic More than one race, 85 years and over,Kentucky,556
Non-Hispanic More than one race, 85 years and over,Louisiana,452
Non-Hispanic More than one race, 85 years and over,Maine,126
Non-Hispanic More than one race, 85 years and over,Maryland,744
Non-Hispanic More than one race, 85 years and over,Massachusetts,575
Non-Hispanic More than one race, 85 years and over,Michigan,1193
Non-Hispanic More than one race, 85 years and over,Minnesota,374
Non-Hispanic More than one race, 85 years and over,Mississippi,300
Non-Hispanic More than one race, 85 years and over,Missouri,818
Non-Hispanic More than one race, 85 years and over,Montana,184
Non-Hispanic More than one race, 85 years and over,Nebraska,127
Non-Hispanic More than one race, 85 years and over,Nevada,368
Non-Hispanic More than one race, 85 years and over,New Hampshire,163
Non-Hispanic More than one race, 85 years and over,New Jersey,966
Non-Hispanic More than one race, 85 years and over,New Mexico,258
Non-Hispanic More than one race, 85 years and over,New York,2296
Non-Hispanic More than one race, 85 years and over,North Carolina,776
Non-Hispanic More than one race, 85 years and over,North Dakota,63
Non-Hispanic More than one race, 85 years and over,Ohio,1048
Non-Hispanic More than one race, 85 years and over,Oklahoma,1543
Non-Hispanic More than one race, 85 years and over,Oregon,645
Non-Hispanic More than one race, 85 years and over,Pennsylvania,956
Non-Hispanic More than one race, 85 years and over,Rhode Island,133
Non-Hispanic More than one race, 85 years and over,South Carolina,386
Non-Hispanic More than one race, 85 years and over,South Dakota,118
Non-Hispanic More than one race, 85 years and over,Tennessee,706
Non-Hispanic More than one race, 85 years and over,Texas,2272
Non-Hispanic More than one race, 85 years and over,United States,40734
Non-Hispanic More than one race, 85 years and over,Utah,143
Non-Hispanic More than one race, 85 years and over,Vermont,104
Non-Hispanic More than one race, 85 years and over,Virginia,1092
Non-Hispanic More than one race, 85 years and over,Washington,1126
Non-Hispanic More than one race, 85 years and over,West Virginia,281
Non-Hispanic More than one race, 85 years and over,Wisconsin,371
Non-Hispanic More than one race, 85 years and over,Wyoming,76
Non-Hispanic More than one race,25-34 years,Alabama,8476
Non-Hispanic More than one race,25-34 years,Alaska,7627
Non-Hispanic More than one race,25-34 years,Arizona,21292
Non-Hispanic More than one race,25-34 years,Arkansas,6783
Non-Hispanic More than one race,25-34 years,California,169093
Non-Hispanic More than one race,25-34 years,Colorado,20617
Non-Hispanic More than one race,25-34 years,Connecticut,7830
Non-Hispanic More than one race,25-34 years,Delaware,2803
Non-Hispanic More than one race,25-34 years,District of Columbia,3623
Non-Hispanic More than one race,25-34 years,Florida,45532
Non-Hispanic More than one race,25-34 years,Georgia,24730
Non-Hispanic More than one race,25-34 years,Hawaii,40509
Non-Hispanic More than one race,25-34 years,Idaho,4781
Non-Hispanic More than one race,25-34 years,Illinois,27586
Non-Hispanic More than one race,25-34 years,Indiana,14995
Non-Hispanic More than one race,25-34 years,Iowa,6297
Non-Hispanic More than one race,25-34 years,Kansas,9549
Non-Hispanic More than one race,25-34 years,Kentucky,9218
Non-Hispanic More than one race,25-34 years,Louisiana,8183
Non-Hispanic More than one race,25-34 years,Maine,2736
Non-Hispanic More than one race,25-34 years,Maryland,18692
Non-Hispanic More than one race,25-34 years,Massachusetts,18725
Non-Hispanic More than one race,25-34 years,Michigan,29351
Non-Hispanic More than one race,25-34 years,Minnesota,17220
Non-Hispanic More than one race,25-34 years,Mississippi,3503
Non-Hispanic More than one race,25-34 years,Missouri,16371
Non-Hispanic More than one race,25-34 years,Montana,3508
Non-Hispanic More than one race,25-34 years,Nebraska,4827
Non-Hispanic More than one race,25-34 years,Nevada,16150
Non-Hispanic More than one race,25-34 years,New Hampshire,2537
Non-Hispanic More than one race,25-34 years,New Jersey,16550
Non-Hispanic More than one race,25-34 years,New Mexico,4503
Non-Hispanic More than one race,25-34 years,New York,50630
Non-Hispanic More than one race,25-34 years,North Carolina,24800
Non-Hispanic More than one race,25-34 years,North Dakota,2249
Non-Hispanic More than one race,25-34 years,Ohio,31256
Non-Hispanic More than one race,25-34 years,Oklahoma,29682
Non-Hispanic More than one race,25-34 years,Oregon,20873
Non-Hispanic More than one race,25-34 years,Pennsylvania,28265
Non-Hispanic More than one race,25-34 years,Rhode Island,3167
Non-Hispanic More than one race,25-34 years,South Carolina,10301
Non-Hispanic More than one race,25-34 years,South Dakota,2375
Non-Hispanic More than one race,25-34 years,Tennessee,14521
Non-Hispanic More than one race,25-34 years,Texas,58700
Non-Hispanic More than one race,25-34 years,United States,977842
Non-Hispanic More than one race,25-34 years,Utah,9768
Non-Hispanic More than one race,25-34 years,Vermont,1317
Non-Hispanic More than one race,25-34 years,Virginia,30494
Non-Hispanic More than one race,25-34 years,Washington,48303
Non-Hispanic More than one race,25-34 years,West Virginia,3178
Non-Hispanic More than one race,25-34 years,Wisconsin,12412
Non-Hispanic More than one race,25-34 years,Wyoming,1354
Non-Hispanic More than one race,35-44 years,Alabama,5985
Non-Hispanic More than one race,35-44 years,Alaska,4930
Non-Hispanic More than one race,35-44 years,Arizona,14492
Non-Hispanic More than one race,35-44 years,Arkansas,4366
Non-Hispanic More than one race,35-44 years,California,114984
Non-Hispanic More than one race,35-44 years,Colorado,13969
Non-Hispanic More than one race,35-44 years,Connecticut,5495
Non-Hispanic More than one race,35-44 years,Delaware,1831
Non-Hispanic More than one race,35-44 years,District of Columbia,2150
Non-Hispanic More than one race,35-44 years,Florida,32214
Non-Hispanic More than one race,35-44 years,Georgia,17029
Non-Hispanic More than one race,35-44 years,Hawaii,33553
Non-Hispanic More than one race,35-44 years,Idaho,3378
Non-Hispanic More than one race,35-44 years,Illinois,17825
Non-Hispanic More than one race,35-44 years,Indiana,9129
Non-Hispanic More than one race,35-44 years,Iowa,3723
Non-Hispanic More than one race,35-44 years,Kansas,6162
Non-Hispanic More than one race,35-44 years,Kentucky,5801
Non-Hispanic More than one race,35-44 years,Louisiana,5629
Non-Hispanic More than one race,35-44 years,Maine,2008
Non-Hispanic More than one race,35-44 years,Maryland,13345
Non-Hispanic More than one race,35-44 years,Massachusetts,11528
Non-Hispanic More than one race,35-44 years,Michigan,18068
Non-Hispanic More than one race,35-44 years,Minnesota,10621
Non-Hispanic More than one race,35-44 years,Mississippi,2516
Non-Hispanic More than one race,35-44 years,Missouri,10598
Non-Hispanic More than one race,35-44 years,Montana,2553
Non-Hispanic More than one race,35-44 years,Nebraska,2876
Non-Hispanic More than one race,35-44 years,Nevada,11117
Non-Hispanic More than one race,35-44 years,New Hampshire,1882
Non-Hispanic More than one race,35-44 years,New Jersey,12885
Non-Hispanic More than one race,35-44 years,New Mexico,3165
Non-Hispanic More than one race,35-44 years,New York,33356
Non-Hispanic More than one race,35-44 years,North Carolina,16959
Non-Hispanic More than one race,35-44 years,North Dakota,1273
Non-Hispanic More than one race,35-44 years,Ohio,19277
Non-Hispanic More than one race,35-44 years,Oklahoma,22098
Non-Hispanic More than one race,35-44 years,Oregon,15050
Non-Hispanic More than one race,35-44 years,Pennsylvania,17465
Non-Hispanic More than one race,35-44 years,Rhode Island,1958
Non-Hispanic More than one race,35-44 years,South Carolina,6585
Non-Hispanic More than one race,35-44 years,South Dakota,1516
Non-Hispanic More than one race,35-44 years,Tennessee,9306
Non-Hispanic More than one race,35-44 years,Texas,41667
Non-Hispanic More than one race,35-44 years,United States,663437
Non-Hispanic More than one race,35-44 years,Utah,5690
Non-Hispanic More than one race,35-44 years,Vermont,992
Non-Hispanic More than one race,35-44 years,Virginia,20921
Non-Hispanic More than one race,35-44 years,Washington,32483
Non-Hispanic More than one race,35-44 years,West Virginia,2229
Non-Hispanic More than one race,35-44 years,Wisconsin,7948
Non-Hispanic More than one race,35-44 years,Wyoming,857
Non-Hispanic More than one race,45-54 years,Alabama,5413
Non-Hispanic More than one race,45-54 years,Alaska,3285
Non-Hispanic More than one race,45-54 years,Arizona,9978
Non-Hispanic More than one race,45-54 years,Arkansas,3812
Non-Hispanic More than one race,45-54 years,California,89824
Non-Hispanic More than one race,45-54 years,Colorado,9375
Non-Hispanic More than one race,45-54 years,Connecticut,4564
Non-Hispanic More than one race,45-54 years,Delaware,1431
Non-Hispanic More than one race,45-54 years,District of Columbia,1214
Non-Hispanic More than one race,45-54 years,Florida,26896
Non-Hispanic More than one race,45-54 years,Georgia,13319
Non-Hispanic More than one race,45-54 years,Hawaii,29042
Non-Hispanic More than one race,45-54 years,Idaho,2570
Non-Hispanic More than one race,45-54 years,Illinois,13421
Non-Hispanic More than one race,45-54 years,Indiana,6668
Non-Hispanic More than one race,45-54 years,Iowa,2539
Non-Hispanic More than one race,45-54 years,Kansas,4278
Non-Hispanic More than one race,45-54 years,Kentucky,4355
Non-Hispanic More than one race,45-54 years,Louisiana,4369
Non-Hispanic More than one race,45-54 years,Maine,1793
Non-Hispanic More than one race,45-54 years,Maryland,10579
Non-Hispanic More than one race,45-54 years,Massachusetts,9048
Non-Hispanic More than one race,45-54 years,Michigan,14887
Non-Hispanic More than one race,45-54 years,Minnesota,6983
Non-Hispanic More than one race,45-54 years,Mississippi,2061
Non-Hispanic More than one race,45-54 years,Missouri,8177
Non-Hispanic More than one race,45-54 years,Montana,2000
Non-Hispanic More than one race,45-54 years,Nebraska,2131
Non-Hispanic More than one race,45-54 years,Nevada,7691
Non-Hispanic More than one race,45-54 years,New Hampshire,1695
Non-Hispanic More than one race,45-54 years,New Jersey,11180
Non-Hispanic More than one race,45-54 years,New Mexico,2371
Non-Hispanic More than one race,45-54 years,New York,27587
Non-Hispanic More than one race,45-54 years,North Carolina,12854
Non-Hispanic More than one race,45-54 years,North Dakota,784
Non-Hispanic More than one race,45-54 years,Ohio,14261
Non-Hispanic More than one race,45-54 years,Oklahoma,17424
Non-Hispanic More than one race,45-54 years,Oregon,10522
Non-Hispanic More than one race,45-54 years,Pennsylvania,13512
Non-Hispanic More than one race,45-54 years,Rhode Island,1527
Non-Hispanic More than one race,45-54 years,South Carolina,5105
Non-Hispanic More than one race,45-54 years,South Dakota,1039
Non-Hispanic More than one race,45-54 years,Tennessee,7316
Non-Hispanic More than one race,45-54 years,Texas,30443
Non-Hispanic More than one race,45-54 years,United States,508464
Non-Hispanic More than one race,45-54 years,Utah,3130
Non-Hispanic More than one race,45-54 years,Vermont,900
Non-Hispanic More than one race,45-54 years,Virginia,15143
Non-Hispanic More than one race,45-54 years,Washington,22152
Non-Hispanic More than one race,45-54 years,West Virginia,1747
Non-Hispanic More than one race,45-54 years,Wisconsin,5366
Non-Hispanic More than one race,45-54 years,Wyoming,703
Non-Hispanic More than one race,55-64 years,Alabama,5493
Non-Hispanic More than one race,55-64 years,Alaska,2766
Non-Hispanic More than one race,55-64 years,Arizona,8188
Non-Hispanic More than one race,55-64 years,Arkansas,3925
Non-Hispanic More than one race,55-64 years,California,76429
Non-Hispanic More than one race,55-64 years,Colorado,7131
Non-Hispanic More than one race,55-64 years,Connecticut,3719
Non-Hispanic More than one race,55-64 years,Delaware,1160
Non-Hispanic More than one race,55-64 years,District of Columbia,859
Non-Hispanic More than one race,55-64 years,Florida,23826
Non-Hispanic More than one race,55-64 years,Georgia,10389
Non-Hispanic More than one race,55-64 years,Hawaii,25142
Non-Hispanic More than one race,55-64 years,Idaho,2291
Non-Hispanic More than one race,55-64 years,Illinois,10715
Non-Hispanic More than one race,55-64 years,Indiana,5658
Non-Hispanic More than one race,55-64 years,Iowa,1944
Non-Hispanic More than one race,55-64 years,Kansas,3994
Non-Hispanic More than one race,55-64 years,Kentucky,4109
Non-Hispanic More than one race,55-64 years,Louisiana,4308
Non-Hispanic More than one race,55-64 years,Maine,1776
Non-Hispanic More than one race,55-64 years,Maryland,8316
Non-Hispanic More than one race,55-64 years,Massachusetts,6976
Non-Hispanic More than one race,55-64 years,Michigan,12774
Non-Hispanic More than one race,55-64 years,Minnesota,5163
Non-Hispanic More than one race,55-64 years,Mississippi,2096
Non-Hispanic More than one race,55-64 years,Missouri,7883
Non-Hispanic More than one race,55-64 years,Montana,2019
Non-Hispanic More than one race,55-64 years,Nebraska,1457
Non-Hispanic More than one race,55-64 years,Nevada,5791
Non-Hispanic More than one race,55-64 years,New Hampshire,1511
Non-Hispanic More than one race,55-64 years,New Jersey,9301
Non-Hispanic More than one race,55-64 years,New Mexico,2531
Non-Hispanic More than one race,55-64 years,New York,22939
Non-Hispanic More than one race,55-64 years,North Carolina,10339
Non-Hispanic More than one race,55-64 years,North Dakota,655
Non-Hispanic More than one race,55-64 years,Ohio,11939
Non-Hispanic More than one race,55-64 years,Oklahoma,16225
Non-Hispanic More than one race,55-64 years,Oregon,9107
Non-Hispanic More than one race,55-64 years,Pennsylvania,10485
Non-Hispanic More than one race,55-64 years,Rhode Island,1229
Non-Hispanic More than one race,55-64 years,South Carolina,4677
Non-Hispanic More than one race,55-64 years,South Dakota,918
Non-Hispanic More than one race,55-64 years,Tennessee,7070
Non-Hispanic More than one race,55-64 years,Texas,24845
Non-Hispanic More than one race,55-64 years,United States,429519
Non-Hispanic More than one race,55-64 years,Utah,2184
Non-Hispanic More than one race,55-64 years,Vermont,995
Non-Hispanic More than one race,55-64 years,Virginia,11838
Non-Hispanic More than one race,55-64 years,Washington,17438
Non-Hispanic More than one race,55-64 years,West Virginia,1938
Non-Hispanic More than one race,55-64 years,Wisconsin,4386
Non-Hispanic More than one race,55-64 years,Wyoming,672
Non-Hispanic More than one race,65-74 years,Alabama,3726
Non-Hispanic More than one race,65-74 years,Alaska,1443
Non-Hispanic More than one race,65-74 years,Arizona,5262
Non-Hispanic More than one race,65-74 years,Arkansas,2989
Non-Hispanic More than one race,65-74 years,California,42772
Non-Hispanic More than one race,65-74 years,Colorado,3810
Non-Hispanic More than one race,65-74 years,Connecticut,1919
Non-Hispanic More than one race,65-74 years,Delaware,723
Non-Hispanic More than one race,65-74 years,District of Columbia,574
Non-Hispanic More than one race,65-74 years,Florida,15247
Non-Hispanic More than one race,65-74 years,Georgia,6435
Non-Hispanic More than one race,65-74 years,Hawaii,16412
Non-Hispanic More than one race,65-74 years,Idaho,1547
Non-Hispanic More than one race,65-74 years,Illinois,6358
Non-Hispanic More than one race,65-74 years,Indiana,3429
Non-Hispanic More than one race,65-74 years,Iowa,1131
Non-Hispanic More than one race,65-74 years,Kansas,2121
Non-Hispanic More than one race,65-74 years,Kentucky,2647
Non-Hispanic More than one race,65-74 years,Louisiana,2923
Non-Hispanic More than one race,65-74 years,Maine,1120
Non-Hispanic More than one race,65-74 years,Maryland,4603
Non-Hispanic More than one race,65-74 years,Massachusetts,3740
Non-Hispanic More than one race,65-74 years,Michigan,7280
Non-Hispanic More than one race,65-74 years,Minnesota,2512
Non-Hispanic More than one race,65-74 years,Mississippi,1445
Non-Hispanic More than one race,65-74 years,Missouri,4764
Non-Hispanic More than one race,65-74 years,Montana,1288
Non-Hispanic More than one race,65-74 years,Nebraska,739
Non-Hispanic More than one race,65-74 years,Nevada,3864
Non-Hispanic More than one race,65-74 years,New Hampshire,828
Non-Hispanic More than one race,65-74 years,New Jersey,5100
Non-Hispanic More than one race,65-74 years,New Mexico,1711
Non-Hispanic More than one race,65-74 years,New York,12909
Non-Hispanic More than one race,65-74 years,North Carolina,5966
Non-Hispanic More than one race,65-74 years,North Dakota,305
Non-Hispanic More than one race,65-74 years,Ohio,7017
Non-Hispanic More than one race,65-74 years,Oklahoma,9960
Non-Hispanic More than one race,65-74 years,Oregon,5847
Non-Hispanic More than one race,65-74 years,Pennsylvania,6037
Non-Hispanic More than one race,65-74 years,Rhode Island,642
Non-Hispanic More than one race,65-74 years,South Carolina,2927
Non-Hispanic More than one race,65-74 years,South Dakota,466
Non-Hispanic More than one race,65-74 years,Tennessee,4557
Non-Hispanic More than one race,65-74 years,Texas,15028
Non-Hispanic More than one race,65-74 years,United States,254020
Non-Hispanic More than one race,65-74 years,Utah,1193
Non-Hispanic More than one race,65-74 years,Vermont,629
Non-Hispanic More than one race,65-74 years,Virginia,6596
Non-Hispanic More than one race,65-74 years,Washington,9328
Non-Hispanic More than one race,65-74 years,West Virginia,1407
Non-Hispanic More than one race,65-74 years,Wisconsin,2305
Non-Hispanic More than one race,65-74 years,Wyoming,439
Non-Hispanic More than one race,75-84 years,Alabama,1821
Non-Hispanic More than one race,75-84 years,Alaska,433
Non-Hispanic More than one race,75-84 years,Arizona,2268
Non-Hispanic More than one race,75-84 years,Arkansas,1541
Non-Hispanic More than one race,75-84 years,California,18415
Non-Hispanic More than one race,75-84 years,Colorado,1296
Non-Hispanic More than one race,75-84 years,Connecticut,794
Non-Hispanic More than one race,75-84 years,Delaware,309
Non-Hispanic More than one race,75-84 years,District of Columbia,196
Non-Hispanic More than one race,75-84 years,Florida,6387
Non-Hispanic More than one race,75-84 years,Georgia,2753
Non-Hispanic More than one race,75-84 years,Hawaii,7015
Non-Hispanic More than one race,75-84 years,Idaho,666
Non-Hispanic More than one race,75-84 years,Illinois,2867
Non-Hispanic More than one race,75-84 years,Indiana,1596
Non-Hispanic More than one race,75-84 years,Iowa,502
Non-Hispanic More than one race,75-84 years,Kansas,970
Non-Hispanic More than one race,75-84 years,Kentucky,1416
Non-Hispanic More than one race,75-84 years,Louisiana,1450
Non-Hispanic More than one race,75-84 years,Maine,527
Non-Hispanic More than one race,75-84 years,Maryland,1959
Non-Hispanic More than one race,75-84 years,Massachusetts,1472
Non-Hispanic More than one race,75-84 years,Michigan,3416
Non-Hispanic More than one race,75-84 years,Minnesota,973
Non-Hispanic More than one race,75-84 years,Mississippi,774
Non-Hispanic More than one race,75-84 years,Missouri,2333
Non-Hispanic More than one race,75-84 years,Montana,562
Non-Hispanic More than one race,75-84 years,Nebraska,311
Non-Hispanic More than one race,75-84 years,Nevada,1442
Non-Hispanic More than one race,75-84 years,New Hampshire,330
Non-Hispanic More than one race,75-84 years,New Jersey,2146
Non-Hispanic More than one race,75-84 years,New Mexico,674
Non-Hispanic More than one race,75-84 years,New York,5650
Non-Hispanic More than one race,75-84 years,North Carolina,2673
Non-Hispanic More than one race,75-84 years,North Dakota,149
Non-Hispanic More than one race,75-84 years,Ohio,3049
Non-Hispanic More than one race,75-84 years,Oklahoma,4860
Non-Hispanic More than one race,75-84 years,Oregon,2206
Non-Hispanic More than one race,75-84 years,Pennsylvania,2670
Non-Hispanic More than one race,75-84 years,Rhode Island,251
Non-Hispanic More than one race,75-84 years,South Carolina,1308
Non-Hispanic More than one race,75-84 years,South Dakota,219
Non-Hispanic More than one race,75-84 years,Tennessee,2157
Non-Hispanic More than one race,75-84 years,Texas,6371
Non-Hispanic More than one race,75-84 years,United States,110083
Non-Hispanic More than one race,75-84 years,Utah,437
Non-Hispanic More than one race,75-84 years,Vermont,284
Non-Hispanic More than one race,75-84 years,Virginia,2764
Non-Hispanic More than one race,75-84 years,Washington,3417
Non-Hispanic More than one race,75-84 years,West Virginia,765
Non-Hispanic More than one race,75-84 years,Wisconsin,1023
Non-Hispanic More than one race,75-84 years,Wyoming,216
Non-Hispanic More than one race,All Ages,Alabama,76781
Non-Hispanic More than one race,All Ages,Alaska,49698
Non-Hispanic More than one race,All Ages,Arizona,146845
Non-Hispanic More than one race,All Ages,Arkansas,58263
Non-Hispanic More than one race,All Ages,California,1097938
Non-Hispanic More than one race,All Ages,Colorado,131155
Non-Hispanic More than one race,All Ages,Connecticut,63050
Non-Hispanic More than one race,All Ages,Delaware,22359
Non-Hispanic More than one race,All Ages,District of Columbia,15783
Non-Hispanic More than one race,All Ages,Florida,354087
Non-Hispanic More than one race,All Ages,Georgia,193243
Non-Hispanic More than one race,All Ages,Hawaii,277195
Non-Hispanic More than one race,All Ages,Idaho,35791
Non-Hispanic More than one race,All Ages,Illinois,207288
Non-Hispanic More than one race,All Ages,Indiana,125096
Non-Hispanic More than one race,All Ages,Iowa,53822
Non-Hispanic More than one race,All Ages,Kansas,75345
Non-Hispanic More than one race,All Ages,Kentucky,81521
Non-Hispanic More than one race,All Ages,Louisiana,70238
Non-Hispanic More than one race,All Ages,Maine,22565
Non-Hispanic More than one race,All Ages,Maryland,146395
Non-Hispanic More than one race,All Ages,Massachusetts,126161
Non-Hispanic More than one race,All Ages,Michigan,222802
Non-Hispanic More than one race,All Ages,Minnesota,127279
Non-Hispanic More than one race,All Ages,Mississippi,34872
Non-Hispanic More than one race,All Ages,Missouri,130853
Non-Hispanic More than one race,All Ages,Montana,26430
Non-Hispanic More than one race,All Ages,Nebraska,36904
Non-Hispanic More than one race,All Ages,Nevada,103937
Non-Hispanic More than one race,All Ages,New Hampshire,21087
Non-Hispanic More than one race,All Ages,New Jersey,137097
Non-Hispanic More than one race,All Ages,New Mexico,31742
Non-Hispanic More than one race,All Ages,New York,347669
Non-Hispanic More than one race,All Ages,North Carolina,200556
Non-Hispanic More than one race,All Ages,North Dakota,15324
